param,Estimate,std_err,t_val,p_val,species
vesselname1,1.29326706223727,0.0816324446352388,15.8425619619261,7.5636328350041e-56,Blue
vesselname2,-0.466224032411922,0.13737854634055,-3.39371790451321,6.92188998809781e-4,Blue
vesselname3,1.08402118908446,0.0993606498131484,10.9099647709934,1.47761513706195e-27,Blue
vesselname4,1.92899412511337,0.0543443556464135,35.4957585230045,5.299878402994e-260,Blue
vesselname5,1.13801401886768,0.0730679182221215,15.5747426032886,4.66574636494585e-54,Blue
vesselname6,-1.49017919164468,0.243304828664441,-6.12474154263456,9.42561686207363e-10,Blue
vesselname7,1.43498504700273,0.0633779371450956,22.6417127417308,1.00439137010748e-110,Blue
vesselname8,-1.68641141553206,0.228516911295808,-7.37981012420151,1.71156886786545e-13,Blue
vesselname9,1.32644102281499,0.110394196475797,12.015495969535,4.97651149875342e-33,Blue
vesselname10,1.44505313238855,0.107017218314515,13.502996575202,3.4493993169981e-41,Blue
vesselname11,-0.553189770174579,0.143098729473855,-3.86579092776397,1.11431890841607e-4,Blue
vesselname12,-0.32332553772763,0.106784097974126,-3.02784350724179,0.0024693457242636,Blue
vesselname13,0.0811275918810658,0.097452999900944,0.832479163940852,0.405158453813152,Blue
vesselname14,-0.488222598493435,0.230462140229826,-2.11845033638306,0.0341615885641949,Blue
vesselname15,-0.324974763201106,0.12197886587103,-2.66418908620374,0.00772982035370596,Blue
vesselname16,-1.57160757162314,0.550083505143052,-2.85703453553735,0.00428503206103931,Blue
vesselname17,-1.0087955660909,0.163687245569418,-6.16294545480077,7.41640598946071e-10,Blue
vesselname18,-0.187730279995639,0.115261908010599,-1.62872785325032,0.103402205749562,Blue
vesselname19,1.20452138814963,0.146606903452798,8.21599365228691,2.36525595112038e-16,Blue
vesselname20,-0.531134650193779,0.319742853774777,-1.66113063645795,0.0967186226234726,Blue
vesselname21,-0.446214398250243,0.179592580601578,-2.48459260819999,0.012986244167626,Blue
vesselname22,-0.20814709659242,0.21087757603981,-0.987051826473597,0.323641160743527,Blue
vesselname23,1.34498820760517,0.069696082605584,19.2979025122053,1.68998478348883e-81,Blue
vesselname24,-0.849556020257967,0.18167089851662,-4.67634622382983,2.95863787972062e-6,Blue
vesselname25,0.351421279886438,0.151960072309425,2.31258958057657,0.0207654557013031,Blue
vesselname26,-1.01201025160548,0.198906042308161,-5.08788089020242,3.68675462778719e-7,Blue
vesselname27,0.524282929125155,0.143878594989722,3.64392583318322,2.69873476550451e-4,Blue
vesselname28,-0.360103432825366,0.184682104881197,-1.94985558052316,0.0512212984299937,Blue
vesselname29,1.22097247231756,0.107133651345366,11.3967222901935,6.6435133482022e-30,Blue
vesselname30,-1.91562371911561,0.461532045833177,-4.15057575397054,3.34394359342329e-5,Blue
vesselname1,1.07253140342116,0.553589476630536,1.93741291823176,0.0527230983127799,Silky
vesselname2,-1.90871890064002,0.642734299351568,-2.96968576683345,0.00298814477554895,Silky
vesselname3,-1.18093509249986,0.710489221846512,-1.66214357120111,0.0965154299306894,Silky
vesselname4,2.83895737603204,0.538697898555952,5.27003610677194,1.39246850871367e-7,Silky
vesselname5,1.41926923181499,0.540758452238196,2.62459001045779,0.00868856708715515,Silky
vesselname6,1.93192463690235,0.540611541281647,3.57359118216801,3.53781371521982e-4,Silky
vesselname7,-3.53465629774072,0.848085319297175,-4.16780743318368,3.10141346901413e-5,Silky
vesselname8,-1.76642528199577,0.644416564674034,-2.74112333361462,0.00613386265134231,Silky
vesselname9,1.12805292470581,0.546674600097488,2.06348150161842,0.0390927296272547,Silky
vesselname10,0.097415053430075,0.633272394280396,0.153828043524257,0.877748435087515,Silky
vesselname11,-0.750038075688967,0.476274316593483,-1.57480269155297,0.115333726412531,Silky
vesselname12,-0.369654802340972,0.401839233088562,-0.919907196467059,0.35764351554774,Silky
vesselname13,-0.00265469076977311,0.389595155413244,-0.00681397274295486,0.994563414761529,Silky
vesselname14,-1.04145082442922,0.663827878511475,-1.56885671443101,0.116713066870302,Silky
vesselname15,-0.517055202798623,0.418651689153918,-1.23504864830135,0.216841505410649,Silky
vesselname16,1.73185887195379,0.388029684500816,4.46321232918496,8.16263284334737e-6,Silky
vesselname17,-1.48007394231027,0.502655492362553,-2.94450963890539,0.00324213706765506,Silky
vesselname18,0.200658822371362,0.391927366126162,0.511979615903548,0.60867661664997,Silky
vesselname19,1.58049194172527,0.384566463625072,4.10980179297731,3.99169859999156e-5,Silky
vesselname20,1.77009119272274,0.379654844207755,4.66236956996156,3.16648736111924e-6,Silky
vesselname21,-0.611111288712182,0.562587442305687,-1.0862512078258,0.277394131241364,Silky
vesselname22,-0.388786144608469,0.450662435433004,-0.862699249017543,0.388323597557504,Silky
vesselname23,1.76936190819957,0.362544376360813,4.88040092073764,1.07511089885552e-6,Silky
vesselname24,-0.504824386622997,0.431341831006032,-1.17035805557179,0.241884883987372,Silky
vesselname25,-0.175098395314654,0.428085411803023,-0.409026774767141,0.682528798730723,Silky
vesselname26,-0.409722498647763,0.441679353074822,-0.92764693616628,0.353613199929727,Silky
vesselname27,1.19500870894173,0.55816493952786606,2.14095982085968,0.0323014577520218,Silky
vesselname28,-0.28395052840056,0.447912694593374,-0.633941685127583,0.526133424531636,Silky
vesselname29,0.510763362435961,0.394942261270185,1.29326084474546,0.19595082407197,Silky
vesselname30,-2.32122908113608,0.896436421914562,-2.58939621861696,0.00962841480440966,Silky
